,label,category,example_pt,example_libras,video_url,hand_gesture,url_available,decoded_word,word_in_url
202,Alagoas,"Lugares, Cidades e Países",O Alagoas é um estado brasileiro.,ALAGOAS É ESTADO BRASIL.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00995-alagoas.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/38.jpg,True,alagoas,True
203,Alemanha,"Lugares, Cidades e Países",A cerveja da Alemanha é muito famosa.,CERVEJA ALEMANHA FAMOSA-MUITO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00996-alemanha.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/24.jpg,True,alemanha,True
204,Amapá,"Lugares, Cidades e Países",O Amapá fica na região Norte.,AMAPÁ NORTE BRASIL.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00997-amapa.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/67.jpg,True,amapa,True
205,Amazonas,"Lugares, Cidades e Países",Amazonas é perto do Peru.,ESTADO AMAZONAS DIVISA PAÍSES VARIADOS.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00998-amazonas.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/05.jpg,True,amazonas,True
206,América,"Lugares, Cidades e Países",Fui em todos os lugares da América.,EU VIAJAR AMÉRICA TODA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00999-america.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/05.jpg,True,america,True
207,América Central,"Lugares, Cidades e Países",Na América Central tem muitas ilhas bonitas.,AMÉRICA CENTRAL TER ILHAS LINDAS.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01000-america-central.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/68.jpg,True,america-central,True
208,América do Norte,"Lugares, Cidades e Países",O México fica na América do Norte.,PAÍS MÉXICO DENTRO AMÉRICA DO NORTE.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01001-america-norte.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/05.jpg,True,america-do-norte,True
209,América do Sul,"Lugares, Cidades e Países",A América do Sul possui as cidades mais bonitas.,AMÉRICA DO SUL CONTINENTE BONITO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01002-america-sul.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/68.jpg,True,america-do-sul,True
210,Andar (prédio),"Lugares, Cidades e Países",Eu moro no sexto andar.,EU MORAR SEXTO ANDAR,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01455-Andar-predio.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/61.jpg,True,andar-(predio),True
211,Argentina,"Lugares, Cidades e Países",Na Argentina tem biscoito muito gostoso.,ALFAJOR ARGETINA MELHOR.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01004-argentina.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/47.jpg,True,argentina,True
212,Austrália,"Lugares, Cidades e Países",O meu sonho é ir na Austrália.,EU SONHO CONHECER AUSTRÁLIA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01005-australia.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/58.jpg,True,australia,True
213,Avenida,"Lugares, Cidades e Países",A sua loja fica na Avenida do Carmo.,SUA LOJA ESTAR AVENIDA C-A-R-M-O.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01007-avenida.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/49.jpg,True,avenida,True
214,Bahia,"Lugares, Cidades e Países",Ano que vem vou passar o carnaval na Bahia.,ANO-PRÓXIMO EU IR BAHIA CARNAVAL.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01008-bahia.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/13.jpg,True,bahia,True
215,Banco (Agência),"Lugares, Cidades e Países",Vou na agência do banco pagar os documentos.,BANCO EU IR CONTA PAGAR.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1280-bancodinheiro.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/75.jpg,True,banco-(agencia),True
216,Banheiro,"Lugares, Cidades e Países",Meu apartamento tem três banheiros grandes.,MEU APARTAMENTO TER TRÊS BANHEIRO GRANDE.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/683-banheiro.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/61.jpg,True,banheiro,True
217,Belo Horizonte,"Lugares, Cidades e Países",Belo Horizonte é a capital de Minas Gerais.,BELO HORIZONTE CAPITAL MINAS GERAIS.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01009-belo-horizonte.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/03.jpg,True,belo-horizonte,True
218,Bolívia,"Lugares, Cidades e Países",A Bolívia fica ao lado do Brasil.,BOLÍVIA PERTO BRASIL.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01010-bolivia.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/60.jpg,True,bolivia,True
219,Brasil,"Lugares, Cidades e Países",O Brasil é um país muito grande.,BRASIL PAÍS GRANDE.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01011-brasil.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/03.jpg,True,brasil,True
220,Brasília,"Lugares, Cidades e Países",Brasília é a capital federal do Brasil.,BRASÍLIA CAPITAL BRASIL.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01012-brasilia.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/24.jpg,True,brasilia,True
221,Canadá,"Lugares, Cidades e Países",Quero estudar no Canadá.,EU QUERER ESTUDAR CANADÁ.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01013-canada.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/12.jpg,True,canada,True
222,Ceará,"Lugares, Cidades e Países",O Ceará está localizado na região noroeste.,CEARÁ ESTÁ REGIÃO NORDESTE.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01014-ceara.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/26.jpg,True,ceara,True
223,Chile,"Lugares, Cidades e Países",O Chile é um país com muitas riquezas naturais.,CHILE PAÍS TEM RIQUEZAS NATUREZA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01015-chile.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/49.jpg,True,chile,True
224,Cinema,"Lugares, Cidades e Países",Todo sábado vou ao cinema.,EU SEMPRE IR CINEMA SÁBADO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/00968-cinema.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/05.jpg,True,cinema,True
225,Colômbia,"Lugares, Cidades e Países",Estou com vontade de ir na Colômbia.,EU QUERER VIAJAR COLÔMBIA ESSE ANO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01017-colombia.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/12.jpg,True,colombia,True
226,Cozinha,"Lugares, Cidades e Países","Amo cozinhar, por isso minha cozinha é grande.",MINHA CASA TER COZINHA GRANDE PORQUE EU AMAR COZINHAR.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/688-cozinha.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/49.jpg,True,cozinha,True
227,Cuba,"Lugares, Cidades e Países",Cuba é capital de Havana.,CAPITAL CUBA HAVANA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01018-cuba.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/03.jpg,True,cuba,True
228,Cuiabá,"Lugares, Cidades e Países",O Mato Grosso é capital de Cuiabá.,CUIABÁ CAPITAL MATO-GROSSO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01019-cuiaba.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/76.jpg,True,cuiaba,True
229,Curitiba,"Lugares, Cidades e Países",Curitiba é capital do estado do Paraná.,CURITIBA CAPITAL PARANÁ.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01020-curitiba.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/02.jpg,True,curitiba,True
230,Distrito Federal,"Lugares, Cidades e Países",O Distrito Federal é o menor estado do Brasil.,DISTRITO FEDERAL ESTADO PEQUENO BRASIL.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01021-distrito-federal.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/53.jpg,True,distrito-federal,True
231,Elevador,"Lugares, Cidades e Países",No meu prédio tem um elevador muito antigo.,ELEVADOR PREDIO MEU ANTIGO-MEU,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/692-elevador.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/21.jpg,True,elevador,True
232,Endereço,"Lugares, Cidades e Países",Não sei qual o endereço dele.,SEU ENDEREÇO QUAL?,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01022-endereco.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/02.jpg,True,endereco,True
233,Equador,"Lugares, Cidades e Países",O Equador fica na América do Sul.,EQUADOR ESTÁ AMÉRICA-DO-SUL.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01023-equador.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/18.jpg,True,equador,True
234,Escócia,"Lugares, Cidades e Países","Flautista fica na Escócia, na Europa.",ESCÓCIA ESTÁ EUROPA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01024-escocia.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/15.jpg,True,escocia,True
235,Espanha,"Lugares, Cidades e Países",A Espanha é um país bonito.,ESPANHA PÁIS LINDO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01025-espanha.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/47.jpg,True,espanha,True
236,Espírito Santo,"Lugares, Cidades e Países",O Espírito Santo é um estado litorâneo.,ESPÍRITO-SANTO TEM PRAIA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01026-espirito-santo.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/54.jpg,True,espirito-santo,True
237,Europa,"Lugares, Cidades e Países",Tenho vontade de conhecer os países da Europa.,EU VONTADE CONHECER PAÍSES EUROPA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01028-europa.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/71.jpg,True,europa,True
238,Finlândia,"Lugares, Cidades e Países",Finlândia fica na Europa.,FINLÂNDIA PAÍS ESTÁ EUROPA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01029-finlandia.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/48.jpg,True,finlandia,True
239,Florianópolis,"Lugares, Cidades e Países",Meu irmão se mudou para Florianópolis,MEU IRMÃO MUDAR FLORIANÓPOLIS.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01030-florianopolis.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/21.jpg,True,florianopolis,True
240,Fortaleza,"Lugares, Cidades e Países",Tenho vontade de ir com a minha esposa em Fortaleza.,EU JUNTO MINHA ESPOSA VIAJAR FORTALEZA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01031-fortaleza.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/28.jpg,True,fortaleza,True
241,França,"Lugares, Cidades e Países",A França é muito bonita.,VOCÊ FRANÇA IR JÁ?,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01032-fran%C3%A7a.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/19.jpg,True,franca,True
242,Garagem,"Lugares, Cidades e Países","Não se preocupe, cabem dois carros na garagem.",VOCE TRANQUILO GARAGEM MINHA CAPAZ CARRO SEU,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01476-Garagem.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/32.jpg,True,garagem,True
243,Goiás,"Lugares, Cidades e Países",Não sei para qual cidade de Goiás a minha tia viajou.,MINHA TIA VIAJAR GOIÁS. CIDADE NÃO SEI.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01033-goias.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/60.jpg,True,goias,True
244,Grécia,"Lugares, Cidades e Países",Nunca fui na Grécia.,EU GRECIA IR NUNCA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01034-grecia.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/37.jpg,True,grecia,True
245,Índia,"Lugares, Cidades e Países",A Índia tem a cultura de encantamento de serpentes.,INDIA PAIS ENCANTADOR.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01035-india.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/56.jpg,True,india,True
246,Inglaterra,"Lugares, Cidades e Países",A Inglaterra é um país muito tradicional.,INGLATERRA TEM TRADIÇAO-MUITA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01036-inglaterra.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/43.jpg,True,inglaterra,True
247,Israel,"Lugares, Cidades e Países",Tenho muita vontade de conhecer Israel.,EU VONTADE CONHECER ISRAEL.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01037-israel.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/24.jpg,True,israel,True
248,Itália,"Lugares, Cidades e Países",A pizza da Itália é deliciosa.,PIZZA ITALIA DELICIA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01038-italia.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/44.jpg,True,italia,True
249,Japão,"Lugares, Cidades e Países",Estou juntando dinheiro para ir ao Japão.,EU GUARDAR DINHEIRO FUTURO VIAJAR JAPAO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01039-japao.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/24.jpg,True,japao,True
250,João Pessoa,"Lugares, Cidades e Países",As praias de João Pessoa são ótimas!,CIDADE JOAO-PESSOA TEM PRAIAS OTIMO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/01040-joao-pessoa.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/65.jpg,True,joao-pessoa,True
251,Maceió,"Lugares, Cidades e Países",Já viajei ontem para Maceió.,ONTEM EU VIAJAR MACEIO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1235-maceio.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/39.jpg,True,maceio,True
252,Manaus,"Lugares, Cidades e Países",Manaus é a capital do Amazonas.,MANAUS CAPITAL AMAZONAS.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1236-manaus.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/05.jpg,True,manaus,True
253,Maranhão,"Lugares, Cidades e Países",São Luís é a capital do Maranhão.,SAO-LUIS CAPITAL MARANHAO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1237-maranh%C3%A3o.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/77.jpg,True,maranhao,True
254,Mato Grosso,"Lugares, Cidades e Países",Cuiabá é a capital do Mato Grosso.,CUIABA CAPITAL MATO-GROSSO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1238-matogrosso.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/76.jpg,True,mato-grosso,True
255,Mato Grosso do Sul,"Lugares, Cidades e Países",Campo Grande é a capital do Mato Grosso do Sul.,CAMPO-GRANDE CAPITAL MATO-GROSSO-DO-SUL.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1239-matogrossodosul.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/05.jpg,True,mato-grosso-do-sul,True
256,México,"Lugares, Cidades e Países",Adoro a comida do México.,EU ADORAR COMIDA MEXICO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1240-mexico.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/43.jpg,True,mexico,True
257,Minas Gerais,"Lugares, Cidades e Países",Nasci em Minas Gerais.,EU NASCI MINAS-GERAIS.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1241-minasgerais.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/49.jpg,True,minas-gerais,True
258,Natal (Cidade),"Lugares, Cidades e Países",Natal é a capital do Rio Grande do Norte.,NATAL CAPITAL RIO-GRANDE-DO-NORTE.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1242-natalcidade.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/32.jpg,True,natal-(cidade),True
260,Países,"Lugares, Cidades e Países",Quero passear em vários países.,EU QUERER VISITAR MUITOS PAISES.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1245-pa%C3%ADses.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/55.jpg,True,paises,True
261,Pará,"Lugares, Cidades e Países",Fui na lua de mel no Pará.,EU PARA IR LUA-DE-MEL.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1247-par%C3%A1.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/02.jpg,True,para,True
262,Paraguai,"Lugares, Cidades e Países",Fui no Paraguai e comprei muitas coisas.,EU COMPRAR-MUITO PARAGUAI.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1248-paraguai.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/55.jpg,True,paraguai,True
263,Paraíba,"Lugares, Cidades e Países",Minha prima mora na Paraíba.,MEUS PRIMOS MORAR PARAIBA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1249-paraiba.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/55.jpg,True,paraiba,True
264,Paraná,"Lugares, Cidades e Países",Nunca fui ao Paraná.,EU NUNCA IR PARANA.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1250-parana.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/05.jpg,True,parana,True
265,Parque,"Lugares, Cidades e Países",Peguei o cachorro para passear junto comigo no parque.,EU PASSEAR CACHORRO PARQUE.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/11/1217-parque.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/05.jpg,True,parque,True
266,Pernambuco,"Lugares, Cidades e Países",Meu amigo estuda na faculdade em Pernambuco.,MEU AMIGO ESTUDAR UNIVERSIDADE PERNAMBUCO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1251-pernanbuco.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/14.jpg,True,pernambuco,True
267,Peru,"Lugares, Cidades e Países",A montanha Machu Picchu fica no Peru.,MACHU PICCHU ESTAR PAIS PERU.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1252-per%C3%BA.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/54.jpg,True,peru,True
268,Piauí,"Lugares, Cidades e Países",A minha tia mora em Piauí.,MINHA TIA MORAR ESTADO PIAUÍ.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1253-piaui.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/55.jpg,True,piaui,True
269,Porto Velho,"Lugares, Cidades e Países",Tem muitos rios em Porto Velho.,PORTO VELHO TER RIO MUITOS.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1254-portovelho.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/55.jpg,True,porto-velho,True
270,Portugal,"Lugares, Cidades e Países",Portugal foi o país que colonizou o Brasil.,PORTUGAL COLONIZAR BRASIL PASSADO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1255-portugal.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/26.jpg,True,portugal,True
271,Prisão,"Lugares, Cidades e Países",É ruim morar em uma prisão.,PRISAO MORAR RUIM.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1281-prisao.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/54.jpg,True,prisao,True
272,Quarto,"Lugares, Cidades e Países",Você pode dormir nesse quarto.,VOCE PODER DORMIR QUARTO ESTE,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01494-Quarto.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/02.jpg,True,quarto,True
273,Recife,"Lugares, Cidades e Países",Amo viajar para Recife.,VIAJAR RECIFE VAMOS?,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1256-recife.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/14.jpg,True,recife,True
274,Região,"Lugares, Cidades e Países","Moro no Brasil, na região Sudeste.",VOCE MORAR QUAL REGIAO?,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1257-regiao.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/13.jpg,True,regiao,True
275,Região Centro Oeste,"Lugares, Cidades e Países",A região Centro Oeste engloba três estados e mais o Distrito Federal.,REGIAO CENTRO-OESTE TER TRES ESTADOS JUNTO DISTRITO FEDERAL.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1258-regiaocentroOeste.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/73.jpg,True,regiao-centro-oeste,True
276,Região Nordeste,"Lugares, Cidades e Países",A região Nordeste é muito quente.,CALOR-MUITO REGIAO NORDESTE.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1259-regiaonordeste.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/21.jpg,True,regiao-nordeste,True
277,Região Norte,"Lugares, Cidades e Países",Moro na região Norte.,EU MORAR REGIAO NORTE BRASIL.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1260-regiaoNorte.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/21.jpg,True,regiao-norte,True
278,Região Sudeste,"Lugares, Cidades e Países",Os meus pais moram na região Sudeste.,MEUS PAIS MORAR REGIAO SUDESTE BRASIL.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1261-regiaosudeste.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/69.jpg,True,regiao-sudeste,True
279,Região Sul,"Lugares, Cidades e Países","No Brasil, a região Sul é muito fria.",REGIAO SUL FRIO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1262-regiaosul.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/69.jpg,True,regiao-sul,True
280,Rio de Janeiro,"Lugares, Cidades e Países",A cidade do Rio de Janeiro é bonita.,RIO DE JANEIRO LINDO SEMPRE.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1263-riodejaneiro.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/64.jpg,True,rio-de-janeiro,True
281,Rio Grande do Sul,"Lugares, Cidades e Países",Quero conhecer a cidade do Rio Grande do Sul.,EU QUERER CONHECER RIO GRANDE DO SUL.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1264-riograndedosul.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/46.jpg,True,rio-grande-do-sul,True
282,Roraima,"Lugares, Cidades e Países",O estado de Roraima fica no nordeste.,RORAIMA ESTA NORTE BRASIL.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1267-roraima.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/22.jpg,True,roraima,True
283,Rússia,"Lugares, Cidades e Países",A Rússia é o maior país do mundo.,RUSSIA PAIS MAIOR MUNDO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1268-russia.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/22.jpg,True,russia,True
284,Sala,"Lugares, Cidades e Países","Espera na sala, que eu estou atrasado.",VOCE PODER ESPERAR EU SALA,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2018/01/01498-Sala.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/49.jpg,True,sala,True
285,Salvador,"Lugares, Cidades e Países",O melhor carnaval do Brasil é em Salvador.,SALVADOR COMEMORAR MELHOR CARNAVAL MUNDO TODO.,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/12/1269-salvador.mp4,https://sistemas.cead.ufv.br/capes/dicionario/wp-content/uploads/2017/08/13.jpg,True,salvador,True
